Name,# Summer,Gold,Silver,Bronze,Total,# Winter,Gold.1,Silver.1,Bronze.1,Total.1,# Games,Gold.2,Silver.2,Bronze.2,Combined total
Gabon,12,0,1,0,1,0,0,0,0,0,12,0,1,0,1
Georgia,8,13,15,19,47,8,0,0,0,0,16,13,15,19,47
Germany,18,213,220,255,688,13,105,97,65,267,31,318,317,320,955
United Team of Germany,3,28,54,36,118,3,8,6,5,19,6,36,60,41,137
East Germany,5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
West Germany,5,56,67,81,204,6,11,15,13,39,11,67,82,94,243
Ghana,16,0,1,4,5,3,0,0,0,0,19,0,1,4,5
Great Britain,30,298,339,343,980,24,12,5,17,34,54,310,344,360,1014
Greece,30,36,46,47,129,20,0,0,0,0,50,36,46,47,129
Grenada,11,1,1,3,5,0,0,0,0,0,11,1,1,3,5
Guatemala,15,1,1,1,3,1,0,0,0,0,16,1,1,1,3
Guyana,19,0,0,1,1,0,0,0,0,0,19,0,0,1,1
Haiti,17,0,1,1,2,1,0,0,0,0,18,0,1,1,2
Hong Kong,18,4,3,6,13,6,0,0,0,0,24,4,3,6,13
Hungary,28,187,161,182,530,24,2,2,6,10,52,189,163,188,540
Iceland,22,0,2,2,4,19,0,0,0,0,41,0,2,2,4
India,26,10,10,21,41,11,0,0,0,0,37,10,10,21,41
Indonesia,17,10,14,16,40,0,0,0,0,0,17,10,14,16,40
Iran,18,27,29,32,88,12,0,0,0,0,30,27,29,32,88
Iraq,16,0,0,1,1,0,0,0,0,0,16,0,0,1,1
Ireland,23,15,10,17,42,8,0,0,0,0,31,15,10,17,42
Israel,18,4,6,10,20,8,0,0,0,0,26,4,6,10,20
Italy,29,229,201,228,658,24,42,43,56,141,53,271,244,284,799
Jamaica,19,27,39,28,94,9,0,0,0,0,28,27,39,28,94
Japan,24,189,162,191,542,22,17,29,30,76,46,206,191,221,618
Jordan,12,1,2,1,4,0,0,0,0,0,12,1,2,1,4
Kazakhstan,8,15,25,38,78,8,1,3,4,8,16,16,28,42,86
Kenya,16,39,44,41,124,4,0,0,0,0,20,39,44,41,124
Kosovo,3,3,1,1,5,2,0,0,0,0,5,3,1,1,5
North Korea,11,16,18,27,61,9,0,1,1,2,20,16,19,28,63
South Korea,19,109,100,111,320,19,33,30,16,79,38,142,130,127,399
Kuwait,14,0,0,3,3,0,0,0,0,0,14,0,0,3,3
Kyrgyzstan,8,0,5,8,13,8,0,0,0,0,16,0,5,8,13
Latvia,13,4,11,6,21,12,1,3,6,10,25,5,14,12,31
Lebanon,19,0,2,2,4,18,0,0,0,0,37,0,2,2,4
Liechtenstein,19,0,0,0,0,20,2,2,6,10,39,2,2,6,10
Lithuania,11,6,9,15,30,10,0,0,0,0,21,6,9,15,30
